image_id,filename,monument_category,question_id,question,answer,question_type,confidence,source
taj_mahal_001,taj_mahal_001_dacbd0c7.jpg,Taj Mahal,taj_mahal_001_q1,What is this monument?,Taj Mahal,monument_identification,1.0,automated_generation
taj_mahal_001,taj_mahal_001_dacbd0c7.jpg,Taj Mahal,taj_mahal_001_q2,Where is this monument located?,Agra,location,1.0,automated_generation
taj_mahal_001,taj_mahal_001_dacbd0c7.jpg,Taj Mahal,taj_mahal_001_q3,What state is this in?,Uttar Pradesh,state,1.0,automated_generation
taj_mahal_001,taj_mahal_001_dacbd0c7.jpg,Taj Mahal,taj_mahal_001_q4,What architectural style does this represent?,Mughal,architectural_style,1.0,automated_generation
taj_mahal_001,taj_mahal_001_dacbd0c7.jpg,Taj Mahal,taj_mahal_001_q5,Who commissioned this structure?,Shah Jahan,builder_patron,1.0,automated_generation
taj_mahal_001,taj_mahal_001_dacbd0c7.jpg,Taj Mahal,taj_mahal_001_q6,In which century was this constructed?,17th century,time_period,1.0,automated_generation
taj_mahal_001,taj_mahal_001_dacbd0c7.jpg,Taj Mahal,taj_mahal_001_q7,What is this monument made of?,White marble,material,1.0,automated_generation
taj_mahal_001,taj_mahal_001_dacbd0c7.jpg,Taj Mahal,taj_mahal_001_q8,What is the religious context of this monument?,Islamic,religion,1.0,automated_generation
taj_mahal_002,taj_mahal_002_6e61fc27.jpg,Taj Mahal,taj_mahal_002_q1,What is this monument?,Taj Mahal,monument_identification,1.0,automated_generation
taj_mahal_002,taj_mahal_002_6e61fc27.jpg,Taj Mahal,taj_mahal_002_q2,Which city is this monument in?,Agra,location,1.0,automated_generation
taj_mahal_002,taj_mahal_002_6e61fc27.jpg,Taj Mahal,taj_mahal_002_q3,In which state is this monument?,Uttar Pradesh,state,1.0,automated_generation
taj_mahal_002,taj_mahal_002_6e61fc27.jpg,Taj Mahal,taj_mahal_002_q4,What is the style of this structure?,Mughal,architectural_style,1.0,automated_generation
taj_mahal_002,taj_mahal_002_6e61fc27.jpg,Taj Mahal,taj_mahal_002_q5,Who built this monument?,Shah Jahan,builder_patron,1.0,automated_generation
taj_mahal_002,taj_mahal_002_6e61fc27.jpg,Taj Mahal,taj_mahal_002_q6,When was this built?,17th century,time_period,1.0,automated_generation
taj_mahal_002,taj_mahal_002_6e61fc27.jpg,Taj Mahal,taj_mahal_002_q7,What is the primary building material?,White marble,material,1.0,automated_generation
taj_mahal_002,taj_mahal_002_6e61fc27.jpg,Taj Mahal,taj_mahal_002_q8,What is the religious significance?,Islamic,religion,1.0,automated_generation
taj_mahal_003,taj_mahal_003_683f10b3.jpg,Taj Mahal,taj_mahal_003_q1,What monument is shown in the image?,Taj Mahal,monument_identification,1.0,automated_generation
taj_mahal_003,taj_mahal_003_683f10b3.jpg,Taj Mahal,taj_mahal_003_q2,Which city is this monument in?,Agra,location,1.0,automated_generation
taj_mahal_003,taj_mahal_003_683f10b3.jpg,Taj Mahal,taj_mahal_003_q3,What state is this in?,Uttar Pradesh,state,1.0,automated_generation
taj_mahal_003,taj_mahal_003_683f10b3.jpg,Taj Mahal,taj_mahal_003_q4,What is the architectural style of this monument?,Mughal,architectural_style,1.0,automated_generation
taj_mahal_003,taj_mahal_003_683f10b3.jpg,Taj Mahal,taj_mahal_003_q5,Who commissioned this structure?,Shah Jahan,builder_patron,1.0,automated_generation
taj_mahal_003,taj_mahal_003_683f10b3.jpg,Taj Mahal,taj_mahal_003_q6,When was this monument constructed?,17th century,time_period,1.0,automated_generation
taj_mahal_003,taj_mahal_003_683f10b3.jpg,Taj Mahal,taj_mahal_003_q7,What is this monument made of?,White marble,material,1.0,automated_generation
taj_mahal_003,taj_mahal_003_683f10b3.jpg,Taj Mahal,taj_mahal_003_q8,Which religion is this associated with?,Islamic,religion,1.0,automated_generation
taj_mahal_004,taj_mahal_004_dee7785c.jpg,Taj Mahal,taj_mahal_004_q1,Which monument is this?,Taj Mahal,monument_identification,1.0,automated_generation
taj_mahal_004,taj_mahal_004_dee7785c.jpg,Taj Mahal,taj_mahal_004_q2,Where can you find this monument?,Agra,location,1.0,automated_generation
taj_mahal_004,taj_mahal_004_dee7785c.jpg,Taj Mahal,taj_mahal_004_q3,In which state is this monument?,Uttar Pradesh,state,1.0,automated_generation
taj_mahal_004,taj_mahal_004_dee7785c.jpg,Taj Mahal,taj_mahal_004_q4,What type of architecture is this?,Mughal,architectural_style,1.0,automated_generation
taj_mahal_004,taj_mahal_004_dee7785c.jpg,Taj Mahal,taj_mahal_004_q5,Who was the patron of this monument?,Shah Jahan,builder_patron,1.0,automated_generation
taj_mahal_004,taj_mahal_004_dee7785c.jpg,Taj Mahal,taj_mahal_004_q6,What is the time period of this monument?,17th century,time_period,1.0,automated_generation
taj_mahal_004,taj_mahal_004_dee7785c.jpg,Taj Mahal,taj_mahal_004_q7,What material was used to build this?,White marble,material,1.0,automated_generation
taj_mahal_004,taj_mahal_004_dee7785c.jpg,Taj Mahal,taj_mahal_004_q8,What is the religious significance?,Islamic,religion,1.0,automated_generation
taj_mahal_005,taj_mahal_005_16852961.jpg,Taj Mahal,taj_mahal_005_q1,What monument is shown in the image?,Taj Mahal,monument_identification,1.0,automated_generation
taj_mahal_005,taj_mahal_005_16852961.jpg,Taj Mahal,taj_mahal_005_q2,Where can you find this monument?,Agra,location,1.0,automated_generation
taj_mahal_005,taj_mahal_005_16852961.jpg,Taj Mahal,taj_mahal_005_q3,In which state is this monument?,Uttar Pradesh,state,1.0,automated_generation
taj_mahal_005,taj_mahal_005_16852961.jpg,Taj Mahal,taj_mahal_005_q4,What is the architectural style of this monument?,Mughal,architectural_style,1.0,automated_generation
taj_mahal_005,taj_mahal_005_16852961.jpg,Taj Mahal,taj_mahal_005_q5,Who was the patron of this monument?,Shah Jahan,builder_patron,1.0,automated_generation
taj_mahal_005,taj_mahal_005_16852961.jpg,Taj Mahal,taj_mahal_005_q6,When was this built?,17th century,time_period,1.0,automated_generation
taj_mahal_005,taj_mahal_005_16852961.jpg,Taj Mahal,taj_mahal_005_q7,What material was used to build this?,White marble,material,1.0,automated_generation
taj_mahal_005,taj_mahal_005_16852961.jpg,Taj Mahal,taj_mahal_005_q8,Which religion is this associated with?,Islamic,religion,1.0,automated_generation
taj_mahal_006,taj_mahal_006_d3ae3829.jpg,Taj Mahal,taj_mahal_006_q1,Which monument is this?,Taj Mahal,monument_identification,1.0,automated_generation
taj_mahal_006,taj_mahal_006_d3ae3829.jpg,Taj Mahal,taj_mahal_006_q2,Where can you find this monument?,Agra,location,1.0,automated_generation
taj_mahal_006,taj_mahal_006_d3ae3829.jpg,Taj Mahal,taj_mahal_006_q3,In which state is this monument?,Uttar Pradesh,state,1.0,automated_generation
taj_mahal_006,taj_mahal_006_d3ae3829.jpg,Taj Mahal,taj_mahal_006_q4,What is the style of this structure?,Mughal,architectural_style,1.0,automated_generation
taj_mahal_006,taj_mahal_006_d3ae3829.jpg,Taj Mahal,taj_mahal_006_q5,Who built this monument?,Shah Jahan,builder_patron,1.0,automated_generation
taj_mahal_006,taj_mahal_006_d3ae3829.jpg,Taj Mahal,taj_mahal_006_q6,When was this monument constructed?,17th century,time_period,1.0,automated_generation
taj_mahal_006,taj_mahal_006_d3ae3829.jpg,Taj Mahal,taj_mahal_006_q7,What is the primary building material?,White marble,material,1.0,automated_generation
taj_mahal_006,taj_mahal_006_d3ae3829.jpg,Taj Mahal,taj_mahal_006_q8,What is the religious context of this monument?,Islamic,religion,1.0,automated_generation
taj_mahal_007,taj_mahal_007_c1f1a644.jpg,Taj Mahal,taj_mahal_007_q1,Name this monument.,Taj Mahal,monument_identification,1.0,automated_generation
taj_mahal_007,taj_mahal_007_c1f1a644.jpg,Taj Mahal,taj_mahal_007_q2,Which city is this monument in?,Agra,location,1.0,automated_generation
taj_mahal_007,taj_mahal_007_c1f1a644.jpg,Taj Mahal,taj_mahal_007_q3,Which Indian state has this monument?,Uttar Pradesh,state,1.0,automated_generation
taj_mahal_007,taj_mahal_007_c1f1a644.jpg,Taj Mahal,taj_mahal_007_q4,What type of architecture is this?,Mughal,architectural_style,1.0,automated_generation
taj_mahal_007,taj_mahal_007_c1f1a644.jpg,Taj Mahal,taj_mahal_007_q5,Who built this monument?,Shah Jahan,builder_patron,1.0,automated_generation
taj_mahal_007,taj_mahal_007_c1f1a644.jpg,Taj Mahal,taj_mahal_007_q6,When was this built?,17th century,time_period,1.0,automated_generation
taj_mahal_007,taj_mahal_007_c1f1a644.jpg,Taj Mahal,taj_mahal_007_q7,What is this monument made of?,White marble,material,1.0,automated_generation
taj_mahal_007,taj_mahal_007_c1f1a644.jpg,Taj Mahal,taj_mahal_007_q8,Which religion is this associated with?,Islamic,religion,1.0,automated_generation
taj_mahal_008,taj_mahal_008_b83faa30.jpg,Taj Mahal,taj_mahal_008_q1,What is this monument?,Taj Mahal,monument_identification,1.0,automated_generation
taj_mahal_008,taj_mahal_008_b83faa30.jpg,Taj Mahal,taj_mahal_008_q2,In which city is this monument?,Agra,location,1.0,automated_generation
taj_mahal_008,taj_mahal_008_b83faa30.jpg,Taj Mahal,taj_mahal_008_q3,In which state is this monument?,Uttar Pradesh,state,1.0,automated_generation
taj_mahal_008,taj_mahal_008_b83faa30.jpg,Taj Mahal,taj_mahal_008_q4,What is the style of this structure?,Mughal,architectural_style,1.0,automated_generation
taj_mahal_008,taj_mahal_008_b83faa30.jpg,Taj Mahal,taj_mahal_008_q5,Which ruler built this?,Shah Jahan,builder_patron,1.0,automated_generation
taj_mahal_008,taj_mahal_008_b83faa30.jpg,Taj Mahal,taj_mahal_008_q6,When was this monument constructed?,17th century,time_period,1.0,automated_generation
taj_mahal_008,taj_mahal_008_b83faa30.jpg,Taj Mahal,taj_mahal_008_q7,What material was used to build this?,White marble,material,1.0,automated_generation
taj_mahal_008,taj_mahal_008_b83faa30.jpg,Taj Mahal,taj_mahal_008_q8,What is the religious significance?,Islamic,religion,1.0,automated_generation
taj_mahal_009,taj_mahal_009_615e7f3a.jpg,Taj Mahal,taj_mahal_009_q1,Name this monument.,Taj Mahal,monument_identification,1.0,automated_generation
taj_mahal_009,taj_mahal_009_615e7f3a.jpg,Taj Mahal,taj_mahal_009_q2,Where can you find this monument?,Agra,location,1.0,automated_generation
taj_mahal_009,taj_mahal_009_615e7f3a.jpg,Taj Mahal,taj_mahal_009_q3,In which state is this monument?,Uttar Pradesh,state,1.0,automated_generation
taj_mahal_009,taj_mahal_009_615e7f3a.jpg,Taj Mahal,taj_mahal_009_q4,What architectural style does this represent?,Mughal,architectural_style,1.0,automated_generation
taj_mahal_009,taj_mahal_009_615e7f3a.jpg,Taj Mahal,taj_mahal_009_q5,Who built this monument?,Shah Jahan,builder_patron,1.0,automated_generation
